,ITEM_DESC,VENDOR,BRAND,VENDOR_CODE,UNIT,PACK,PER_PACK,PRICE,LAST_UPDATE,ACCOUNT,FLAG
406,OIL OLIVE EXTRA VIRGIN 10 L BAG IN BOX,SYSCO,TRULY,255941,CASE,1.0,10 LB,138.34,2025-09-29,KITCHEN,
407,OLIVE KALAMATA PITTED PLASTIC KEG,SYSCO,IMPERIAL,5429766,CASE,4.0,4.4 LB,36.27,2025-09-26,KITCHEN,
408,ORANGE MANDARIN WHOLE SEGMENTS IN JUICE,SYSCO,SUPREME,8357873,CASE,6.0,#10,73.64,2025-07-04,KITCHEN,
409,ORANGES CHOICE FRESH,SYSCO,RELIANCE,7651967,CASE,1.0,138 CT,43.08,2025-07-25,KITCHEN,
410,PAN COATING CANOLA,SYSCO,IMPERIAL,7110474,CASE,6.0,17 OZ,42.34,2025-09-16,KITCHEN,
411,"PASTA CAPELLINI 10""",SYSCO,PASTA LABELLA,4862967,CASE,2.0,10 LB,26.7,2025-08-27,KITCHEN,
412,PASTA CAVATAPPI 100% DURUM WHEAT SEMOLINA,SYSCO,PASTA LABELLA,6040885,CASE,2.0,10 LB,26.78,2025-10-22,KITCHEN,
413,PASTA FARFALLE BOWTIE,SYSCO,BARILLA ITALIAN PASTA,8843195,CASE,2.0,10 LB,25,2025-09-26,KITCHEN,
414,PASTA LINGUINE 10 INCH,SYSCO,PASTA LABELLA,4862959,CASE,2.0,10 LB,25.98,2025-07-23,KITCHEN,
415,PASTA PENNE RIGATE GLUTEN FREE,SYSCO,BARILLA ITALIAN PASTA,4069926,CASE,8.0,12 OZ,20.73,2025-09-29,KITCHEN,
416,PASTA SHELL SMALL,SYSCO,PASTA LABELLA,4862777,CASE,2.0,10 LB,33.97,2025-08-18,KITCHEN,
417,PASTA SPAGHETTI,SYSCO,BARILLA ITALIAN PASTA,7967144,CASE,2.0,10 LB,25,2025-08-26,KITCHEN,
418,PEACH SLICED CHOICE EXTRA IN LIGHT SYRUP,SYSCO,CLASSIC,2182063,CASE,6.0,#10,71.3,2025-07-09,KITCHEN,
419,PEANUT BUTTER CREAMY CUP,SYSCO,HOUSE RECIPE,7211242,CASE,200.0,0.75 OZ,38.39,2025-07-09,KITCHEN,
420,PEANUT BUTTER CREAMY PET PLASTIC CONTAINER JAR,SYSCO,CLASSIC,9732967,EACH,1.0,5 LB,17.42,2025-07-04,KITCHEN,
421,"PEAS, SUGAR SNAP",SYSCO,PROPACK,1312743,CASE,1.0,10 LB,35.03,2025-09-12,KITCHEN,
422,PEPPER RED FIRE ROASTED STRIPS,SYSCO,ARREZZIO,5017918,CASE,12.0,28 OZ,66.32,2025-10-22,KITCHEN,
423,PICK SANDWICH BAMBOO KNOT 4 INCH,SYSCO,HANDGARD,2102038,CASE,10.0,100 CT,27.82,2025-08-12,KITCHEN,
424,PIZZA CRUST ROUND PREBAKED,SYSCO,SAN MARIO'S,2516557,CASE,12.0,12 IN,29.85,2025-07-08,KITCHEN,
