Unnamed: 0,ITEM_DESC,VENDOR,BRAND,VENDOR_CODE,UNIT,PACK,PER_PACK,PRICE,LAST_UPDATE,ACCOUNT,FLAG
607.0,BREAD NAAN TANDOORI TEARDROP,SYSCO,STONEFIRE,5960921,CASE,48.0,4.4 OZ,44.86,2025-09-29,KITCHEN,
608.0,BUN BRAT & SAUSAGE HINGED,SYSCO,BAKER'S SOURCE,7219684,CASE,8.0,8 CT,35.95,2025-09-23,KITCHEN,
609.0,BUN HAMBURGER CLASSIC 4.5,SYSCO,ACE BAKERY LTD,7267452,CASE,8.0,6 CT,29.27,2025-10-22,KITCHEN,
610.0,BUN HAMBURGER ROUND 4 2.1 OZ,SYSCO,BAKER'S SOURCE,7223074,CASE,10.0,12 CT,37.83,2025-09-23,KITCHEN,
611.0,BUN HMBRGR CLS SLIDER 3 INCH,SYSCO,ACE BAKERY LTD,7267449,CASE,6.0,30 CT,73.5,2025-09-26,KITCHEN,
612.0,BUN HOT DOG WHITE 6 HINGED,SYSCO,BAKER'S SOURCE,7223080,CASE,12.0,12 CT,$35.69 ,2025-08-15,,
613.0,BUN KAISER WHITE CORNDST 4.5 SLICED,SYSCO,BAKER'S SOURCE,7223085,CASE,6.0,12 CT,$33.61 ,2025-08-15,,
614.0,BUTTER CLARIFIED 4-5#,SYSCO,WHOLESOME FARMS,3029614,CASE,4.0,5 LB,$94.69 ,2025-08-22,,
615.0,CAKE FUNNEL FRIES,SYSCO,FUNNEL CAKE,6977005,CASE,1.0,600 CT,$53.47 ,2025-08-15,,
616.0,CALAMARI RINGS & TENTACLES DIPPED & DUSTED,SYSCO,TAMPA MAID,5304706,CASE,6.0,2 LB,129.85,2025-09-30,KITCHEN,
617.0,CANDY M&M'S PLAIN BULK,SYSCO,M&M,6080550,CASE,1.0,25 LB,105.94,2025-10-22,KITCHEN,
618.0,CAPERS NONPAREIL IMPORTED,SYSCO,IMPERIAL,5535679,CASE,12.0,16 OZ,$43.73 ,2025-08-12,,
619.0,CEREAL ASSORTED FAVORITE CUP PAK,SYSCO,KELLOGG'S,9234246,CASE,60.0,EA,$63.25 ,2025-08-04,,
620.0,CHEESE CHEDDAR MILD LOAF YELLOW,SYSCO,BLOCK & BARREL,2819098,CASE,2.0,5 LB,$36.22 ,2025-10-22,KITCHEN,
621.0,CHEESE CHEDDAR ORIGINAL SPREAD,SYSCO,WIN SCHULER,7186344,CASE,4.0,5 LB,$82.29 ,2025-08-13,,
622.0,CHEESE COTTAGE SMALL CURD 4%,SYSCO,WHOLESOME FARMS,5020896,CASE,2.0,5 LB,25.67,2025-09-22,KITCHEN,
623.0,CHEESE CREAM LOAF,SYSCO,WHOLESOME FARMS,1012566,CASE,10.0,3 LB,91.68,2025-09-22,KITCHEN,
624.0,CHEESE FETA PAIL,SYSCO,IMPERIAL,9768342,CASE,2.0,8 LB,50.87,2025-09-17,KITCHEN,
625.0,CHEESE GOUDA SMOKED,SYSCO,BLOCK & BARREL,2393049,LB,2.0,6 LB,4.88,2025-09-05,KITCHEN,
626.0,CHEESE HAVARTI WITH DILL,SYSCO,BLOCK & BARREL,2393023,LB,1.0,9 LB,$4.62 ,2025-08-01,,
627.0,CHEESE MONTEREY PEPPER JACK SLICED INTERLEAF,SYSCO,BLOCK & BARREL,3554553,CASE,8.0,1.5 LB,$43.54 ,2025-08-05,,
628.0,CHEESE MOZZARELLA LOW MOISTURE WHOLE MILK MOZZARELLA,SYSCO,SAPUTO FOODS LTD,350880,LB,8.0,6 LB,2.465,2025-07-11,,
629.0,CHEESE PROVOLONE NON-SMOKED SLICED .75 OUNCE,SYSCO,BLOCK & BARREL,3546386,CASE,8.0,1.5 LB,45.15,2025-10-22,KITCHEN,
630.0,CHICKEN 8PIECES BREADED HONEY STUNG PRE-COOKED,SYSCO,TYSON FOODS,4915561,CASE,1.0,15 LB,$46.87 ,2025-08-15,,
